,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
37,1725083171.067844,0.0 kilometer_per_hour,78 degree_Celsius,34.11764705882353 percent,2.5 degree,,,,15.294117647058824 percent,1725083171.3021991
0,1725083258.3677394,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,1.5 degree,,,,15.294117647058824 percent,1725083258.608115
1,1725083258.9082432,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,6.0 degree,,,,15.294117647058824 percent,1725083259.1484213
2,1725083259.4484406,0.0 kilometer_per_hour,86 degree_Celsius,32.549019607843135 percent,2.0 degree,,,,15.294117647058824 percent,1725083259.6888347
3,1725083259.988867,0.0 kilometer_per_hour,86 degree_Celsius,32.549019607843135 percent,1.5 degree,,,,15.294117647058824 percent,1725083260.2291415
4,1725083260.529243,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,3.0 degree,,,,15.294117647058824 percent,1725083260.7695944
5,1725083261.0696363,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,7.0 degree,,,,15.294117647058824 percent,1725083261.3099833
6,1725083261.609958,0.0 kilometer_per_hour,86 degree_Celsius,32.94117647058823 percent,1.0 degree,,,,15.294117647058824 percent,1725083261.850248
7,1725083262.1503613,0.0 kilometer_per_hour,86 degree_Celsius,32.549019607843135 percent,4.0 degree,,,,15.294117647058824 percent,1725083262.3906326
8,1725083262.6905265,0.0 kilometer_per_hour,86 degree_Celsius,32.549019607843135 percent,4.0 degree,,,,15.294117647058824 percent,1725083262.9309063
9,1725083263.2311156,0.0 kilometer_per_hour,86 degree_Celsius,33.333333333333336 percent,6.5 degree,,,,15.294117647058824 percent,1725083263.4712768
10,1725083263.771407,0.0 kilometer_per_hour,86 degree_Celsius,32.94117647058823 percent,1.0 degree,,,,15.294117647058824 percent,1725083264.0117772
11,1725083264.3117604,0.0 kilometer_per_hour,86 degree_Celsius,32.549019607843135 percent,3.0 degree,,,,15.294117647058824 percent,1725083264.5522158
12,1725083264.852171,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,2.5 degree,,,,15.294117647058824 percent,1725083265.0925481
13,1725083265.392536,0.0 kilometer_per_hour,86 degree_Celsius,32.15686274509804 percent,3.0 degree,,,,15.294117647058824 percent,1725083265.632724
