,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos,End_Time
28,1725472559.6525671,116.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472559.676605
29,1725472559.9317966,120.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472559.9414475
30,1725472560.1958864,116.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472560.2209747
31,1725472560.476246,112.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472560.4862142
32,1725472560.740826,108.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472560.7667797
33,1725472561.02199,104.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472561.0318685
34,1725472561.2863972,100.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472561.3127239
35,1725472561.5655165,96.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472561.5774748
36,1725472561.832708,92.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472561.8592217
37,1725472562.1148565,88.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472562.1255486
38,1725472562.3794076,84.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472562.4040601
39,1725472562.6590192,80.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472562.6839983
40,1725472562.9394534,76.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472562.9498403
41,1725472563.204315,72.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472563.2298934
42,1725472563.4855182,68.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472563.5106475
43,1725472563.7654324,64.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472563.792301
44,1725472564.0472178,60.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472564.0711157
45,1725472564.3267424,56.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472564.3361268
46,1725472564.5901945,52.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472564.6182606
47,1725472564.874031,48.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472564.8847537
48,1725472565.1393147,44.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472565.1655388
49,1725472565.4202921,40.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472565.430479
50,1725472565.6845002,36.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472565.7096267
51,1725472565.9649973,32.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472565.9915783
52,1725472566.2468698,28.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472566.2567809
53,1725472566.511352,24.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472566.5393815
54,1725472566.7951705,20.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472566.8054707
55,1725472567.060345,16.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472567.0869944
56,1725472567.3425574,12.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472567.3524756
57,1725472567.6067567,8.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472567.6320896
58,1725472567.8871377,4.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472567.9165013
59,1725472568.1721554,0.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472568.1825247
60,1725472568.4365568,4.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472568.4652274
61,1725472568.7201111,8.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472568.7442307
62,1725472568.999226,12.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472569.0264096
63,1725472569.2816303,16.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472569.2916362
64,1725472569.5460186,20.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472569.5580506
65,1725472569.8130736,24.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472569.8235495
66,1725472570.0783362,28.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472570.1042812
67,1725472570.359761,32.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472570.3699389
68,1725472570.6240096,36.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472570.6479163
69,1725472570.9033055,40.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725472570.9134252
