Timestamp_OBD,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
1738911743.0425618,<obd.OBDResponse.Status object at 0x7f06b0762c50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.64705882352941,88,-1.5625,10.9375,46,808.5,0.0,3.0,46,16.470588235294116,"((), (False, False, False, False), (False, False, True, True))",0.115,0.73,India OBD II (IOBD II),370.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.593,28.627450980392158,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911745.6042998,<obd.OBDResponse.Status object at 0x7f06b0792590>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.03921568627451,88,1.5625,10.9375,47,831.0,0.0,0.5,46,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.805,0.735,India OBD II (IOBD II),373.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.593,29.019607843137255,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911748.136706,<obd.OBDResponse.Status object at 0x7f06b073b710>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606,88,0.0,10.9375,47,818.5,0.0,2.0,47,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.08,0.735,India OBD II (IOBD II),375.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,29.019607843137255,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911750.6923153,<obd.OBDResponse.Status object at 0x7f06b07995d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606,88,-1.5625,10.9375,47,829.5,0.0,2.0,47,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.105,0.74,India OBD II (IOBD II),378.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.735,29.019607843137255,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911753.235972,<obd.OBDResponse.Status object at 0x7f06b0098550>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",29.41176470588235,87,-0.78125,11.71875,36,846.0,0.0,0.5,47,15.686274509803921,"((), (False, False, False, False), (False, False, True, True))",0.785,0.735,India OBD II (IOBD II),380.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.664,21.176470588235293,5.490196078431373,15.686274509803921,14.901960784313726,7.450980392156863,7.0588235294117645
1738911755.7860932,<obd.OBDResponse.Status object at 0x7f06afeb5950>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.45098039215686,88,-0.78125,11.71875,35,798.0,0.0,6.0,47,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.09,0.735,India OBD II (IOBD II),383.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.688,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911758.3417616,<obd.OBDResponse.Status object at 0x7f06aff0ed90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",35.68627450980392,88,-3.125,10.9375,44,776.5,0.0,11.0,47,16.07843137254902,"((), (False, False, False, False), (False, False, True, True))",0.11,0.745,India OBD II (IOBD II),385.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.499,30.980392156862745,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911760.8921263,<obd.OBDResponse.Status object at 0x7f06b004eb90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",39.21568627450981,88,1.5625,10.15625,48,822.5,0.0,2.0,47,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.11,0.75,India OBD II (IOBD II),388.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,29.019607843137255,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911763.4420338,<obd.OBDResponse.Status object at 0x7f06aff30a50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.431372549019606,88,-0.78125,10.9375,47,812.5,0.0,3.5,47,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.09,0.75,India OBD II (IOBD II),390.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.664,29.41176470588235,6.666666666666667,16.862745098039216,14.901960784313726,7.450980392156863,8.627450980392156
1738911765.9739397,<obd.OBDResponse.Status object at 0x7f06aff2d110>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647,88,0.0,10.9375,48,815.5,0.0,2.0,48,16.862745098039216,"((), (False, False, False, False), (False, False, True, True))",0.815,0.75,India OBD II (IOBD II),393.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.499,30.19607843137255,7.0588235294117645,17.254901960784313,14.901960784313726,7.450980392156863,8.235294117647058
1738911768.517836,<obd.OBDResponse.Status object at 0x7f06aff0fd10>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",42.35294117647059,88,1.5625,10.15625,52,497.5,2.0,7.5,48,14.901960784313726,"((), (False, False, False, False), (False, False, True, True))",0.65,0.745,India OBD II (IOBD II),396.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,12.604000000000001,27.058823529411764,4.313725490196078,14.509803921568627,14.901960784313726,7.450980392156863,5.490196078431373
